wordle_id,tweet_id,tweet_date,tweet_username,tweet_text
210,1482553374591660037,2022-01-16 03:20:43+00:00,bpszebes,"Wordle 210 4/6

⬛⬛🟨🟨⬛
🟩⬛⬛⬛⬛
🟩🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
210,1482553387937898499,2022-01-16 03:20:46+00:00,cruisecoup,"Wordle 210 4/6

⬜⬜⬜⬜⬜
🟩🟩🟨🟨⬜
🟩🟩⬜🟩🟨
🟩🟩🟩🟩🟩"
210,1482553422276698113,2022-01-16 03:20:55+00:00,DestroVega,"Wordle 210 4/6

⬜⬜⬜🟨⬜
⬜🟩⬜🟨⬜
⬜🟩⬜🟨⬜
🟩🟩🟩🟩🟩"
210,1482553436910628866,2022-01-16 03:20:58+00:00,brenmardash,"Wordle 210 3/6

⬜⬜🟨⬜⬜
🟨🟨⬜⬜⬜
🟩🟩🟩🟩🟩"
210,1482553445726908420,2022-01-16 03:21:00+00:00,KatieHowse2,"Wordle 210 3/6

⬛⬛🟨⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
210,1482553448025395202,2022-01-16 03:21:01+00:00,iconoco,"Wordle 210 4/6

⬛⬛⬛🟨⬛
🟨🟨⬛🟨⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
210,1482553451439603720,2022-01-16 03:21:01+00:00,ParickHarmon,"Wordle 210 3/6

🟨⬜⬜🟩⬜
⬜🟨🟨🟨⬜
🟩🟩🟩🟩🟩"
210,1482553460251709443,2022-01-16 03:21:04+00:00,Revnan2001,"Wordle 210 4/6

⬜⬜🟨⬜⬜
⬜⬜⬜🟨⬜
🟩🟨⬜⬜🟨
🟩🟩🟩🟩🟩"
210,1482553474243981312,2022-01-16 03:21:07+00:00,sarajmun,"Wordle 210 2/6

🟨🟩⬛🟩🟨
🟩🟩🟩🟩🟩

Got lucky lol"
210,1482553491050700800,2022-01-16 03:21:11+00:00,CraigBatts,"Wordle 210 2/6

⬜🟩🟨⬜⬜
🟩🟩🟩🟩🟩"
210,1482553587750215682,2022-01-16 03:21:34+00:00,DavidBowman2021,"Wordle 210 4/6

⬜⬜🟨⬜⬜
⬜⬜🟨🟨⬜
🟨🟩🟩⬜⬜
🟩🟩🟩🟩🟩"
210,1482553597443207168,2022-01-16 03:21:36+00:00,Ilovelucy907,"Wordle 210 4/6

⬛⬛🟨⬛⬛
🟨🟩⬛🟩🟨
⬛🟩🟨🟩⬛
🟩🟩🟩🟩🟩"
210,1482553600551579648,2022-01-16 03:21:37+00:00,Wasatchwarrior,"Wordle 210 3/6

⬜🟨⬜⬜⬜
🟨⬜🟨⬜⬜
🟩🟩🟩🟩🟩
Oh boy….I just played for the first time. I can definitely see myself developing… https://t.co/9hnH8NzFKb"
210,1482553601323159553,2022-01-16 03:21:37+00:00,maggie77,"Wordle 210 3/6

🟨⬜🟨⬜⬜
⬜🟩🟨🟨⬜
🟩🟩🟩🟩🟩"
210,1482553626241372162,2022-01-16 03:21:43+00:00,marisasimone,"Wordle 210 4/6

⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
⬛⬛🟨🟨⬛
🟩🟩🟩🟩🟩"
210,1482553633803845634,2022-01-16 03:21:45+00:00,Akilragavan,"Wordle 210 4/6

⬛⬛🟨🟨⬛
🟩🟨⬛⬛⬛
🟩🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
210,1482553642649587716,2022-01-16 03:21:47+00:00,ShroomShoom,"Wordle 210 4/6

⬛⬛🟨🟨⬛
⬛🟨🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
210,1482553649486344194,2022-01-16 03:21:49+00:00,exec101,"Wordle 210 3/6

⬜⬜🟨🟩🟨
⬜🟨⬜⬜⬜
🟩🟩🟩🟩🟩"
210,1482553676849893379,2022-01-16 03:21:55+00:00,niklas_ross,"Wordle 210 3/6

⬛⬛⬛🟨⬛
🟩⬛🟨🟨⬛
🟩🟩🟩🟩🟩"
210,1482553684294873090,2022-01-16 03:21:57+00:00,iBrews,"Wordle 210 4/6

⬛⬛🟨🟨⬛
⬛🟩⬛🟩🟨
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩"
210,1482553685054005251,2022-01-16 03:21:57+00:00,anna_aileen,"Wordle 210 4/6

⬜⬜⬜🟨⬜
⬜⬜🟨⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
210,1482553690775257094,2022-01-16 03:21:59+00:00,VilliamToledo,"Wordle 210 6/6

⬜⬜⬜🟨⬜
🟨⬜⬜⬜⬜
🟩🟨⬜⬜🟨
🟩🟩⬜🟩⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
210,1482553709674459139,2022-01-16 03:22:03+00:00,indoor__voice,"Wordle 210 3/6

⬛⬛⬛🟨⬛
⬛🟩🟨⬛⬛
🟩🟩🟩🟩🟩"
210,1482553729912033283,2022-01-16 03:22:08+00:00,matty_som,"Wordle 210 4/6

⬛⬛🟨⬛⬛
⬛🟩🟨⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
210,1482553747939237894,2022-01-16 03:22:12+00:00,ryanf07,"Wordle 210 3/6

⬛⬛🟨🟩🟨
⬛🟨⬛🟩🟨
🟩🟩🟩🟩🟩 😁"
210,1482553769669709825,2022-01-16 03:22:17+00:00,ahj_in_sf,"Wordle 210 2/6

🟩⬜🟨🟩🟨
🟩🟩🟩🟩🟩
어 이건 좀 자랑하고 싶다…"
210,1482553794525208578,2022-01-16 03:22:23+00:00,superrrmodel,"Wordle 210 4/6

⬜⬜🟨⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟨⬜
🟩🟩🟩🟩🟩"
210,1482553807586217990,2022-01-16 03:22:26+00:00,leahmachtsachen,"Wordle 210 3/6

⬛⬛⬛🟨⬛
🟩⬛🟨🟩🟨
🟩🟩🟩🟩🟩"
210,1482553816545468417,2022-01-16 03:22:29+00:00,rodertouille,"Wordle 210 3/6

⬛⬛⬛⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩🟩

sheeeeeeeeeeeeeeeeeeeesh"
210,1482553834648084484,2022-01-16 03:22:33+00:00,ameliaaaaaaaphd,"Wordle 210 4/6

🟨🟨⬜⬜⬜
⬜🟩🟨🟨⬜
🟨🟩⬜🟩🟨
🟩🟩🟩🟩🟩"
